Band,url,Years,Recorded,Live
Ikey Robinson and his Windy City Five,ikeywc5.html,1935,Yes,?
Imperial Three,imperialthree.html,1919,Yes,?
Indiana Sycopators,indianasyncopators.html,1923,Yes,?
Irving Aaronson and his Commanders,aaronson.html,1926 to 1935,Yes,Yes
Irving Aaronson and his Crusaders,crusaders.html,1926,Yes,Yes
Irving Mills' Hotsy-Totsy Gang,hotsytotsy.html,1928 to 1930,Yes,No
Irving Mills' Modernists,modernists.html,1929,Yes,No
Isham Jones and his Orchestra,ishamjones.html,1922 to 1937,Yes,Yes
Isham Jones and his Rainbo Orchestra,jonesrainbo.html,1920 to 1921,Yes,Yes
J. Neal Montgomery and his Orchestra,montgomery.html,1929,Yes,Yes
J.C. Cobb And His Grains Of Corn,grains.html,1928 to 1929,Yes,?
J.C. Johnson and his Five Hot Sparks,jcj5hs.html,1929,Yes,?
Jack Chapman Drake Hotel Orchestra,chapman.html,1924 to 1925,Yes,Yes
Jack Crawford and his Orchestra,crawford.html,1927,Yes,Yes
Jack Humphrey's London Band,jhlb.html,1925,Yes,?
Jack Hylton's Kit-Cat Band,kitcat.html,1925 to 1927,Yes,Yes
Jack Linx and his Birmingham Society Serenaders,linx.html,NA,NA,NA
Jack Pettis and his Band,"pettisband.html,pettisband.html","1926 to 1927,1927","Yes,Yes","Yes,Yes"
Jack Pettis and his Pets,pets.html,1928 to 1929,Yes,Yes
Jack Teagarden and his Orchestra,teao.html,1930 to 1940,Yes,Yes
Jackie Souder and his Orchestra,souder.html,1925 to 1927,Yes,Yes
Jackson and his Southern Stompers,jacksonss.html,1928,Yes,?
Jamaica Jazzers,jamaica.html,1924,Yes,No
James Boucher et son Jazz,"boucher.html,boucher.html,boucher.html,boucher.html","1930,1930 to 1931,1930,1930 to 1931","Yes,Yes,Yes,Yes","?,?,?,?"
James P.  Johnson's Harmony Eight,jpjharmony.html,1921,Yes,?
Jasper Davis and his Orchestra,jasperdavis.html,1929,Yes,No
Jasper Taylor and his State Street Boys,jtssb.html,1927,Yes,?
Jasper Taylor's Original Washboard Band,jtowb.html,1927,Yes,No
Jay C. Flippen and his Gang,flippen.html,1926 to 1927,Yes,No
Jazz Artists,jazzartists.html,?,Yes,?
Jazz Band Kapelle Karellmeister Bernard Ette,ettejazzband.html,1923,Yes,Yes
Jazz Club Mystery Band,mystery.html,NA,NA,NA
Jazz-O-Harmonists,jazzoharmonists.html,1923 to 1924,Yes,No
Jazzazza Jazz Band,syncho.html,1919,Yes,?
Jazzbo's Carolina Serenaders,jazzbos.html,1922,Yes,?
Jean Cocteau et l'orchestre Dan Parrish,cocteau.html,1929,Yes,?
Jean Goldkette and his Orchestra,goldo.html,1924 to 1929,Yes,Yes
Jeanette James and her Synco Jazzers,syncojazzers2.html,1927,Yes,Yes
Jelly James and his Fewsicians,fewsicians.html,1927,Yes,?
Jelly Roll Morton and his Orchestra,jellyo.html,1923 and 1929,Yes,No
Jelly Roll Morton's Red Hot Peppers,redhot.html,1926 to 1929,Yes,No
Jesse Stafford and his Orchestra,staffordo.html,1928 to 1931,Yes,Yes
Jesse Stone and his Blues Serenaders,stone.html,1920 to 1928,Yes,Yes
Jim Europe's 369th Infantry Hell Fighters Band,hellfighters.html,1917 to 1919,Yes,Yes
Jimmie Joy's Baker Hotel Orchestra,jjoybho.html,1925,Yes,Yes
Jimmie Joy's Orchestra,jjoyo.html,1928 to 1929,Yes,Yes
Jimmie Joy's St. Anthony Hotel Orchestra,jjoysaho.html,1924,Yes,Yes
Jimmie Lunceford and his Chickasaw Syncopaters,chickasaw.html,1930,Yes,Yes
Jimmie Noone and his Orchestra,nooneo.html,1937 to 1940,Yes,?
Jimmie Noone Trio,jntrio.html,1940,Yes,?
Jimmie Noone's Apex Club Orchestra,apex.html,?,Yes,Yes
Jimmie O'Bryant's Famous Original Washboard Band,obryant2.html,1925,Yes,?
Jimmie's Blue Melody Boys,jbmb.html,1929,Yes,No
Jimmie's Joys,jjoys.html,1923,Yes,Yes
Jimmy Bertrand's Washboard Wizards,jbww.html,1927,Yes,?
Jimmy Blythe and his Ragamuffins,blytheRag.html,1926,Yes,?
Jimmy Dorsey accompanied by Spike Hughes and his Three Blind Mice,jdhughes.html,1930,Yes,?
Jimmy Dorsey accompanied by the Dorsey Brothers Orchestra,dorseydorsey.html,1932,Yes,No
Jimmy Johnson and his Band,jjb.html,1929,Yes,?
Jimmy Johnson and his Orchestra,jjo.html,1928 to 1929,Yes,?
Jimmy Johnson's Jazz Boys,jjjb.html,1921,Yes,?
Jimmy Wade and his Dixielanders,wade.html,1928,Yes,?
"Joe ""Wingy"" Manone and his Club Royale Orchestra",royale.html,1927,Yes,Yes
Joe Manone's Harmony Kings,jmhk.html,1928,Yes,Yes
Joe Steele and his Orchestra,steele.html,1929,Yes,Yes
Joe Sullivan and his Cafe Society Orchestra,cafesociety.html,1940,Yes,Yes
Joe Sullivan Trio,sullivantrio.html,1952,Yes,No
Joe Thomas' Saxotette,joethomassaxotette.html,1920 to 1923,Yes,Yes
Joe Turner And His Memphis Men,turnermm.html,1929,Yes,?
Joe Watson and his Green Mill Orchestra,watsongreenmill.html,1929,Yes,Yes
John Hyman's Bayou Stompers,bayou.html,1928,Yes,?
John Sylvester and his Orchestra,sylvester.html,1924 to 1927,Yes,Yes
John Tobin's Midnight Serenaders,tobin.html,1925,Yes,Yes
John Williams' and his Memphis Stompers,jwms.html,1929,Yes,Yes
John Williams' Synco Jazzers,syncojazzers.html,1927,Yes,Yes
Johnnie Miller's New Orleans Frollickers,frollickers.html,1928,Yes,?
Johnny Bayersdorffer and his Jazzola Novelty Orchestra,bayersdorffer.html,1924,Yes,Yes
Johnny De Droit and his New Orleans Orchestra,dedroit.html,1924,Yes,Yes
Johnny Dodds and his Chicago Boys,jdcb.html,1938,Yes,?
Johnny Dodds and his Orchestra,jdo.html,1929 and 1940,Yes,?
Johnny Dodds' Black Bottom Stompers,jdbbs.html,1927,Yes,?
Johnny Dunn and his Band,dunnband.html,1928,Yes,No
Johnny Dunn and his Jazz Band,dunnjband.html,1923,Yes,?
Johnny Dunn and his Original Jazz Band,dunnoband.html,1923,Yes,?
Johnny Dunn's Original Jazz Hounds,jazzhounds.html,1921 to 1923,Yes,Yes
Johnny Hamp and his Orchestra,hampo.html,1931 to 1936,Yes,Yes
Johnny Hamp's Kentucky Serenaders,jhks.html,1925 to 1929,Yes,Yes
Johnson's Big Five,johnsonsbigfive.html,1919,Yes,No
Johnson's Jazzers,jjazzers.html,1927,Yes,?
Jones & Collins Astoria Hot Eight,astoria8.html,1929,Yes,Yes
Jones' Paramount Charleston Four,jpcf.html,1925,Yes,?
Joseph C. Smith and His Mount Royal Orchestra,jcsmithmro.html,1924,Yes,Yes
Joseph C. Smith's Orchestra,jcso.html,1916 to 1922,Yes,Yes
Joseph C. Smith's Trio,jcsmithtrio.html,1919 to 1923,Yes,Yes
Joseph Samuels' Jazz Band,samuelsjb.html,1920 to 1922,Yes,?
Josèphine Baker accompanied by Le Jazz du Poste Parisien,bakerpp.html,1934,Yes,No
Josèphine Baker accompanied by Melodic-Jazz du Casino de Paris,bakermj.html,1930,Yes,Yes
Josèphine Baker accompanied pae le Le Jacob's Jazz,bakerfb.html,1927,Yes,Yes
Josèphine Baker et les Comedian Harmonists,jbch.html,1935,Yes,No
Josie Miles accompanied by the Choo Choo Jazzers,mileschoochoo.html,1924 to 1925,Yes,?
Josie Miles accompanied by the Kansas City Five,mileskc5.html,1924,Yes,?
Jules Herbuveaux and his Orchestra,herbuveauxo.html,1927 to 1928,Yes,Yes
Jules Herbuveaux' Palmer House Victorians,herbuveaux.html,1926 to 1927,Yes,Yes
Julia Lee accompanied by George E. Lee and his Novelty Singing Orchestra,julialee.html,1929,Yes,Yes
Jungle Band,jungle.html,1929 to1931,Yes,Yes
Jungle Kings,junglekings.html,1928,Yes,No
Jungle Town Stompers,jungletown.html,1929,Yes,No
Junie Cobb's Hometown Band,jchb.html,1926,Yes,?
Kansas City Four/Five,kc45.html,1924 to 1925,Yes,?
Kansas City Frank and his Footwarmers,kcffootwarmers.html,1926,Yes,No
Kansas City Stompers,kcs.html,1929,Yes,?
Kansas City Tin Roof Stompers,kctrs.html,1929,Yes,?
Katie Crippen accompanied by Henderson's Novelty Orchestra,kcrippenhno.html,1921,Yes,?
Kentucky Jazz Babies,kjb.html,1929,Yes,?
Kentucky Jug Band,kentuckyjugband.html,1930,Yes,?
Kentucky Seranaders,kentuckyserenaders.html,1920,Yes,?
Kid Ory's Creole Orchestra,oryscreole.html,1944 to ?,Yes,Yes
King Bechet Trio,kbt.html,1923,Yes,No
King David's Jug Band,kdjb.html,1930,Yes,?
King Mutt and his Tennessee Thumpers,kingmutt.html,1929,Yes,No
King Oliver's Creole Jazz Band,kingocjb.html,1919 to 1923,Yes,Yes
King Oliver's Dixie Syncopators,dixie.html,1926 to 1928,Yes,Yes
King Oliver's Jazz Band,kojb.html,1923,Yes,Yes
King Oliver's Orchestra,oorchestra.html,1929,Yes,Yes
L'Orchestre Scrap Iron Jazzerinos,jazzerinos.html,1918 to 1919,Yes,?
Lada's Louisiana Orchestra,lada.html,1922 to 1923,Yes,Yes
Lake Arrowhead Orchestra,lakearrowhead.html,1926,Yes,?
Lampe's Orchestra From The Trianon Ballroom,lampeotb.html,1924 to 1932,Yes,Yes
Lanin's Jazz Band,laninsjazzband.html,1923,Yes,?
Lanin's Red Heads,laninredhd.html,1925,Yes,No
Lanin's Southern Serenaders,laninsoseren.html,1921 to 1922,Yes,No
Laura Smith accompanied by Clarence Williams' Harmonizers,lsmithcwh.html,1924,Yes,?
Laura Smith accompanied by Perry Bradford's Mean Four,lsmithpbm4.html,1925 to 1927,Yes,?
Laura Smith and her Wild Cats,lsmithwcats.html,1927,Yes,?
Lavinia Turner and her Jazz Band,laviniaturner.html,1921,Yes,?
Lavinia Turner and James P. Johnson's Harmony Seven,laviniaturnerjohnson.html,1921,Yes,?
Lawrence Welk's Novelty Orchestra,welk.html,1927 to 1937,Yes,Yes
Lee Morse and her Bluegrass Boys,morse.html,1925 and 1932,Yes,?
Lee Morse and her Southern Serenaders,morsess.html,1927,Yes,Yes
Lena Wilson accompanied by Conaway's Rag-Pickers,lwilsoncrp.html,1924,Yes,?
Lena Wilson accompanied by Fletcher Henderson's Orchestra,lwilsonfho.html,1923,Yes,?
Lena Wilson accompanied by her Jazz Hounds,lwilsonhjh.html,1923,Yes,?
Lena Wilson accompanied by Johnny Dunn's Jazz Hounds,lwilsonjdjh.html,1923,Yes,?
Lena Wilson accompanied by Perry Bradford's Jazz Phools,lwilsonpbjp.html,1923,Yes,?
Lena Wilson accompanied by the Jazz Masters,lwilsonjm.html,1922,Yes,?
Lena Wilson accompanied by the Nubian Five,lwilsonn5.html,1923,Yes,No
Leona Williams and her Dixie Band,leonawilliams.html,1922 to 1923,Yes,No
Leroy Smith and his Orchestra,lsmith.html,1928,Yes,Yes
Leroy Tibbs and his Connie's Inn Orchestra,tibbs.html,1928,Yes,Yes
Lewitsch Tanzorchester,lewitsch.html,1924,Yes,?
Lil Hardaway's Orchestra,hardaway.html,1928,Yes,?
Lil's Hot Shots,hotshots.html,1926,Yes,No
Lillie Delk Christian with Louis Armstrong's Jazz Four,ldchot4.html,1928,Yes,No
Lillyn Brown and her Jazzbo Syncopators,lbjazzbo.html,1921,Yes,Yes
Little Ramblers,littleramblers.html,1924 to 1927,Yes,Yes
Lloyd Scott and his Orchestra,lso.html,1927,Yes,Yes
Lloyd Smith's Gut-Bucketeers,gut.html,1930,Yes,?
Lomuto Jazz Band,lomuto.html,1924 to 1977,Yes,Yes
Lopez and Hamilton's Kings of Harmony Orchestra,lhkho.html,1920,Yes,?
Lou And His Ginger Snaps,gingersnaps.html,1929,Yes,?
Lou Raderman and his Pelham Heath Inn Orchestra,pelham.html,1928,Yes,Yes
Lou Weimer's Gold and Black Aces,weimer.html,1928,Yes,Yes
Louis Armstrong and his Hot Five,hot5.html,1925 to 1928,Yes,No
Louis Armstrong and his Hot Seven,hot7.html,1926 to1928,Yes,No
Louis Armstrong and his Orchestra,lao.html,1928 to 1947,Yes,Yes
Louis Armstrong and his Savoy Ballroom Five,savoy5.html,1928 to 1929,Yes,Yes
Louis Armstrong and his Sebastian New Cotton Club Orchestra,sebastian.html,1930 to 1932,Yes,Yes
Louis Armstrong and his Stompers,stompers.html,1927,Yes,Yes
Louis Armstrong With Andy Iona And His Islanders,islanders.html,1937,Yes,No
Louis Armstrong With The Polynesians,polynesians.html,1936,Yes,No
Louis Dumaine's Jazzola Eight,jazzola8.html,1927,Yes,?
Louis Panico and his Orchestra,panico.html,1930,Yes,?
Louise Vant accompanied by Perry Bradford's Mean Four,vant.html,1925 to 1926,Yes,?
Louisiana Five,l5.html,1918 to 1920,Yes,Yes
Louisiana Rhythm Kings,lrk.html,1928 to 1929,Yes,Yes
Louisiana Sugar Babies,sugarbabes.html,1928,Yes,No
Lovie Austin and her Blues Serenaders,la1.html,1924,Yes,?
Lovie Austin and her Serenaders,la2.html,1925 to 1926,Yes,?
Lucille Hegamin accompanied by Clarence Williams and Band,hegaminwilliams.html,1920 to 1923,Yes,Yes
Lucille Hegamin accompanied by Wooding's Society Entertainers,hegaminwooding.html,1920 to 1923,Yes,Yes
Lucille Hegamin and her Bang-Up Six,hegaminbangup6.html,1920 to 1923,Yes,Yes
Lucille Hegamin and her Blue Flame Syncopaters,blueflame.html,1920 to 1923,Yes,Yes
Lucille Hegamin and her Dixie Daisies,hegamindixiedaisies.html,1920 to 1923,Yes,Yes
Luigi Romanelli and his King Edward Hotel Orchestra,romanelli.html,1929,Yes,Yes
Luis Russell and his Burning Eight,lrb8.html,1929,Yes,?
Luis Russell and his Heebie Jeebie Stompers,heebie.html,1926,Yes,?
Luis Russell and his Orchestra,lro.html,1929 to ...,Yes,Yes
Ma Rainey accompanied by Lovie Austin and her Blues Serenaders,mrlabs.html,1923 to 1924,Yes,No
Ma Rainey accompanied by The Pruitt Twins,pruitttwins.html,1928,Yes,No
Ma Rainey and her Georgia Jazz Band,georgiajazzband.html,1924 to 1927,Yes,Yes
Ma Rainey and Papa Charlie Jackson,mrpcj.html,1928,Yes,No
Mac's Jazz Orchestra,macsjazzo.html,1927,Yes,?
Maggie Jones accompanied by Henderson's Hot Six,"mjfhh6.html,mjfhh6.html,mjslrk.html,mjslrk.html","1925,1925,1925,1925","Yes,Yes,Yes,Yes","?,No,?,No"
Maggie Jones accompanied by her Jazz Band,mjjb.html,1925 to 1926,Yes,?
Major and his Orchestra,major.html,1924,Yes,?
Mamie Smith accompanied by The Choo Cho Jazzers,msccj.html,1923,Yes,No
Mamie Smith and Harlem Trio,msht.html,1924,Yes,No
Mamie Smith and her Jazz Band,msjb.html,1921 to 1922,Yes,No
Mamie Smith's Jazz Hounds,msjh.html,1920 to 1924,Yes,Yes
Manhattan Dance Makers,mdm.html,1925 to 1928,Yes,No
Manhattan Merrymakers,manhattanmerrymakers.html,1923 to 1924,Yes,?
Marcel's Jazz Band des Folies Bergère,marcelsjazzband.html,1919,Yes,Yes
Margaret Johnson accompanied by Clarence Williams' Blue Five,margaretjohnsoncwb5.html,1923 to 1925,Yes,?
Margaret Johnson accompanied by Clarence Williams' Harmonizers,margaretjohnsoncwb5.html,1924,Yes,?
Margaret Johnson accompanied by the Black and Blue Trio,margaretjohnsonbbt.html,1926,Yes,?
Marigold Entertainers,marigold.html,1929,Yes,Yes
Marion McKay and his Orchestra,mckay.html,1922 to 1927,Yes,Yes
Marlow Hardy and his Alabamians,hardy.html,1929,Yes,Yes
Mart Britt and his Orchestra,britt.html,1928 to 1932,Yes,Yes
Mary Jackson with Perry Bradford's Jazz Phools,mjphools.html,1923,Yes,?
Mary Stafford and her Jazz Band,mstaffordjazz.html,1921,Yes,Yes
Mason Dixon Orchestra,masondixon.html,1929,Yes,No
Master Saxophone Sextet,mastersaxophonesextet.html,1919,Yes,?
Matson's Lucky Seven,luckyseven.html,1924,Yes,?
McKenzie and Condon's Chicagoans,mcc.html,1927,Yes,Yes
McKenzie's Candy Kids,candykids.html,1925 to 1927,Yes,No
McKinney's Cotton Pickers,cotton.html,1928 to 1931,Yes,Yes
McMurray's California Thumpers,mcmurray.html,1922,Yes,No
Melody Kings,Melodykings.html,1917 to 1929,Yes,Yes
Memphis Jazzers,mj.html,1929,Yes,No
Memphis Jug Band,memphisjugband.html,1927 to 1934,Yes,Yes
Memphis Pickaninny Band,pickaninny.html,1917,Yes,?
Merritt Brunies and his Friars Inn Orchestra,merritt.html,1924 to 1924,Yes,Yes
Mezz Mezzrow and his Orchestra,mezzrowladnier.html,1933 to 1938,Yes,No
Mezz Mezzrow and his Swing Band,mezzswing.html,1936,Yes,Yes
Mezz Mezzrow Trio,mezztrio.html,1944,Yes,No
Mezzrow - Ladnier Quintet,mezzrowladnier.html,1938,Yes,Yes
Midnight Rounders,midightrounders.html,1928,Yes,?
Midnight Serenaders,ms.html,1927,Yes,?
Midway Garden Dance Orchestra,midwaygarden.html,1923,Yes,Yes
Miff Mole's Molers,mmm.html,1927 to 1930,Yes,No
Millard G. Thomas and his Chicago Orchestra,chicagoorchestra.html,1922 to 1927,Yes,Yes
Mills' Ten Black Berries,millstbb.html,1930,Yes,?
Miss Billie Young accompanied by Jelly Roll Morton,billieyoung.html,1930,Yes,No
Miss Jacoba and Mr. Paulus with Jass-Band Orchest,jacoba.html,?,Yes,?
Miss Lee accompanied by her Jazz Boys,misslee.html,1921,Yes,?
Missourians,missourians.html,1928 to 1930,Yes,Yes
Mitchell's Jazz Kings,mitchellsjk.html,1921 to 1923,Yes,Yes
Monarch Jazz Quartet,mjq.html,1929,Yes,?
Monette Moore accompanied by Clarence Jones' Paramount Trio,mmcjpt.html,1923,Yes,?
Monette Moore's Swing Shop Boys,mmb.html,1936,Yes,?
Monk Hazel and his Bienville Roof Orchestra,monkhazel.html,1928,Yes,Yes
Morrison's Jazz Band,morrisons.html,1920,Yes,?
Muggsy Spanier and his Ragtime Band,ragtimeband.html,1939,Yes,Yes
Muggsy Spanier and his Ragtimers,ragtimers.html,1942 to 1944,Yes,Yes
Muggsy Spanier and his V-Disc All-Stars,vdisc.html,1944,Yes,No
Murray Pilcer and his Jazz Band,pilcer.html,1919,Yes,Yes
Musical Stevedores,musical.html,1929,Yes,?
Mutt Carey and his New Yorkers,muttny.html,1947,Yes,Yes
Napoleon's Emperors,emperors.html,1929,Yes,?
Nashville Jazzers,nashvillejazzers.html,1929,Yes,No
Naylor's Seven Aces,7aces.html,1924 to 1925,Yes,Yes
Neger Jazz Orchester,neger.html,1924,Yes,?
Nelson's Paramount Serenaders,Paramount.html,1927,Yes,?
New Orleans Blue Five,nob5.html,1926,Yes,No
New Orleans Bootblacks,boot.html,1926,Yes,No
New Orleans Feetwarmers,footwarmers.html,1931 to,Yes,Yes
New Orleans Owls,owls.html,1925 to 1927,Yes,Yes
New Orleans Rhythm Kings,nork.html,1922 to 1935,Yes,Yes
New Orleans Wanderers,now.html,1926,Yes,No
New Princes' Toronto Band,newprinces.html,1924 to 1926,Yes,Yes
Noah Lewis and his Jug Band,nljb.html,1930,Yes,?
Noble Sissle and his International Orchestra,sissleio.html,1934,Yes,Yes
Noble Sissle and his Orchestra,sissleo.html,1928 to 1931,Yes,Yes
Noble Sissle and his Sizzling Syncopators,sissless.html,1921 to 1922 and 1930,Yes,Yes
Noble Sissle's Swingsters,swingsters.html,1937,Yes,Yes
Norfolk Jazz Quartette,norfolk.html,1921 to 1937,Yes,Yes
Novelty Five,novelty5.html,1919 to 1920,Yes,?
O'Bryant's Washboard Band,obryant1.html,1925,Yes,?
Odeon Five,odeon5.html,1926,Yes,?
Old Southern Jug Band,osjb.html,1924,Yes,Yes
Oliver Cobb and his Rhythm Kings,ocobb.html,1929,Yes,?
Oliver Naylor's Orchestra,naylor.html,1925,Yes,Yes
Ollie Powers' Harmony Syncopators,ophs.html,1923,Yes,?
Omer Simeon Trio,ost.html,1945,Yes,?
Orchestre Arthur Briggs and his Boys,briggsboys.html,1929,Yes,?
Orchestre Billy Max,billymax.html,1924,Yes,?
Orchestre Pollard's Six,pollard.html,1923,Yes,?
Orchestre Syncopated Six,oss.html,1923,Yes,?
Orchestre The Playboys,playboys.html,1927,Yes,?
Oriental Jazzers,orientaljazzers.html,1929,Yes,No
Original Capitol Orchestra,oco.html,1923 to 1924,Yes,Yes
Original Crescent City Jazzers,cresent.html,1924,Yes,Yes
Original Excentric Band,excentric.html,1919,Yes,?
Original Georgia Five,og5.html,1923,Yes,Yes
Original Indiana Five,oi5.html,1923 to 1929,Yes,Yes
Original Jazz Hounds,ojh.html,1925,Yes,?
Original Louisiana Five,ol5.html,1924,Yes,Yes
Original Memphis Five,om5.html,1922 to 1931,Yes,Yes
Original Memphis Melody Boys,ommb.html,1923,Yes,?
Original Midnight Ramblers Orchesta,omro.html,1925,Yes,?
Original Oslo Jazzband,oslojazzband.html,1925,Yes,?
Original Ramblers,originalramblers.html,1929,Yes,?
Original Saxo-Jazz Band,originalsaxojazzband.html,1918 ?,Yes,?
Original Six,original6.html,1922 to 1923,Yes,?
Original Tuxedo Jazz Orchestra,tuxedo.html,1916 to 1928,Yes,Yes
Original Wolverines,owolverines.html,1927 to 1928,Yes,Yes
Orpheum Duo,orpheumduo.html,1919,Yes,?
Palais Royal Californians,palaisroyalcalifornians.html,1926,Yes,Yes
Palledo Orchestra Of St. Louis,palledo.html,1925,Yes,?
Paramount Pickers,paramountpickers.html,1929,Yes,?
Parenti's Liberty Syncopators,Liberty.html,1925 to 1926,Yes,Yes
Parham - Pickett Apollo Syncopators,apollo.html,1926,Yes,Yes
Parham's Black Patti Band,pbpb.html,1928,Yes,?
Paul Ash and his Granada Orchestra,ashgo.html,1923 to 1924,Yes,Yes
Paul Ash and his Orchestra,asho.html,1926 to 1937,Yes,Yes
Paul Ash and his Pabst Blue Ribbon Casino Orchestra,ashpbr.html,1933,Yes,Yes
Paul Biese and his Edgewater Beach Orchestra,edgewater.html,1924,Yes,Yes
Paul Biese and his Novelty Orchestra,bieseno.html,1918 to 1919,Yes,Yes
Paul Biese Orchestra,bieseo.html,1919 to 1924,Yes,Yes
Paul Biese Trio,biesetrio.html,1919 to 1920,Yes,Yes
Paul Biese's College Inn Orchestra,biesecollege.html,1920,Yes,Yes
Paul Howard's Quality Serenaders,paulhoward.html,1929 to 1930,Yes,Yes
Paul Reischmann's Jazz Babies,reischmann.html,mid-1930s,Yes,?
Phil Baxter and his Orchestra,Baxter.html,1925 to 1929,Yes,Yes
Phil Napoleon and his Orchestra,philnapo.html,1926 to 1927,Yes,?
Phillips Louisville Jug Band,pljb.html,1930,Yes,?
Picaninny Jug Band,pjb.html,1932,Yes,?
Pinkie's Birmingham Five,pinkies.html,1925,Yes,?
Piron's New Orleans Orchestra,pnoo.html,1918 to 1925,Yes,Yes
Porter's Blue Devils,porters.html,1923,Yes,?
Powell's Jazz Monarchs,powells.html,1926,Yes,?
Preston Jackson and his Uptown Band,uptownband.html,1926,Yes,?
Prince Albert Hunt's Texas Ramblers,princealbert.html,1928 to 1931,Yes,Yes
Puritan Jazz Band,puritanjazzband.html,1924,Yes,?
Quintette of the Hot Club of France,hotclubfrance.html,1935 to 1942,Yes,Yes
Ralph Williams and his Rainbo Orchestra,rwro.html,1924,Yes,Yes
Ray Miller and his Hotel Gibson Orchestra,hotelgibson.html,1927 to 1928,Yes,Yes
Ray Miller's Black And White Melody Boys,blackandwhite.html,1920 to 1922,Yes,Yes
Ray Tellier and his San Francisco Orchestra,tellier.html,1925 and 1928,Yes,Yes
Ray Ventura et ses Collegiens,ventura.html,1929,Yes,?
Reb Spikes Club Forty Fives,rlc45.html,1924,Yes,Yes
Reb Spikes Majors and Minors,rsmm.html,1927,Yes,Yes
Reb's Legion Club Forty Fives,rlc45.html,1924,Yes,Yes
Red Allen and his Orchestra,redalleno.html,1940 to 1941,Yes,Yes
Red And Miff's Stompers,redmiff.html,1926,Yes,?
Red Mckenzie & his Mound City Blue Blowers,mound.html,?,Yes,Yes
Red McKenzie and his Music Box,musicbox.html,1927 to 1928,Yes,No
Red McKenzie and his Orchestra,mckenzieo.html,1933 and 1937,Yes,No
Red McKenzie and his Rhythm Kings,rmrk.html,1935 to 1937,Yes,?
Red McKenzie with the Spirits Of Rhythm,mckenziesor.html,1934,Yes,?
Red Nichols and his Five Pennies,rn5p.html,?,Yes,Yes
Red Nichols' Stompers,rns.html,1927,Yes,Yes
Red Onion Jazz Babies,redonion.html,1924 to 1925,Yes,No
Rene Cóspito and his Jazz Band,cospito.html,1932 to 1950s,Yes,Yes
René Dumont Jazz Band,dumont.html,1927 to 1930,Yes,Yes
René Dumont von der Villa D'Este,dumont2.html,1927 to 1930,Yes,Yes
Rhythmakers,rhythmakers.html,1932,Yes,No
Rhythmic Eight,rhythmic8.html,1928 to 1931,Yes,Yes
Richard M. Jones' Jazz Wizards,jazzwizards.html,1925 to 1935,Yes,No
Richard M. Jones' Three Jazz Wizards,3jazzwizards.html,1925,Yes,No
Richmond Starlight Jazz Quartette,rsjq.html,1928,Yes,?
Roberta Dudley accompanied by Ory's Orchestra,dudley.html,1922,Yes,Yes
Robinson's Knights Of Rest,rkor.html,1930,Yes,?
Roger Wolfe Kahn and his Hotel Biltmore Orchestra,rwkahnhbo.html,1925,Yes,Yes
Roger Wolfe Kahn and his Orchestra,rwkahno.html,1925 to 1932,Yes,Yes
Rosa Henderson accompanied by Fletcher Henderson's Club Alabam Orchestra,rhfhcao.html,1924,Yes,No
Rosa Henderson accompanied by Fletcher Henderson's Jazz Five,rhfhj5.html,1924,Yes,No
Rosa Henderson accompanied by Fletcher Henderson's Orchestra,rhfho.html,1924,Yes,No
Rosa Henderson accompanied by the Four Black Diamonds,rh4bd.html,1926,Yes,?
Rosa Henderson accompanied by the Kansas City Five,rhkc5.html,1924,Yes,?
Rosa Henderson accompanied by the Kansas City Four,rhkc4.html,1928,Yes,?
Rosa Henderson accompanied by the Three Hot Eskimos,rh3he.html,1926,Yes,?
Rosa Henderson accompanied by the Three Jolly Miners,rhtjm.html,1925,Yes,?
Rosa Henderson accompanied by the Virginians,rhv.html,1923,Yes,No
Rosa Henderson and the Choo Choo Jazzers,rhccj.html,1924,Yes,?
Rosetta Crawford accompanied by James P. Johnson's Hep Cats,rcrawfordhep.html,1939,Yes,?
Rosetta Crawford accompanied by King Bechet Trio,kbt.html,1923,Yes,?
Ross Deluxe Syncopaters,ross.html,1927 to 1931,Yes,Yes
Rube Bloom and his Bayou Boys,rbbb.html,1930,Yes,No
"Ruben ""River"" Reeves and his River Boys",riverboys.html,1929 and 1933,Yes,No
"Ruben ""River"" Reeves and his Tributaries",tributaries.html,1929,Yes,No
Russell's Hot Six,rhot6.html,1926,Yes,?
Ruth Lee accompanied bySpikes Seven Pods Of Pepper Orchestra,ruthlee.html,1922,Yes,No
Salty Dog Four,saltydogfour.html,1930,Yes,?
Sam Lanin's Troubadours,slt.html,1930,Yes,No
Sam Morgan's Jazz Band,sammorgen.html,1927 to 1932,Yes,Yes
Sam Wooding and his Orchestra,woodingo.html,1920 to 1935,Yes,Yes
Sammie Lewis with his Bamville Syncopators,bamville.html,1923b to 1926,Yes,Yes
Sammy Price and his Four Quarters,price.html,1929,Yes,?
Sammy Stewart and his Orchestra,stewart.html,1928,Yes,Yes
Sammy Stewart and his Ten Knights Of Syncopation,tenknights.html,1924,Yes,Yes
Sammy Swift Jazz Band,swift.html,1921 or 1922,Yes,?
Sara Martin accompanied by Clarence Williams' Harmonizers,martincwh.html,1924,Yes,No
Sara Martin accompanied by Harry's Happy Four,martinhh4.html,1924,Yes,No
Sara Martin accompanied by W.C. Handy's Orchestra,martinhandy.html,1923,Yes,Yes
